 Ax, Ay, Az, Gx, Gy, Gz
0.22839,-1.33032,-0.12903,113.28125,-185.79102,-93.93311
0.1377,-0.9447,-0.60925,79.58984,-138.24463,-136.23047
0.09766,-0.69238,-0.72729,69.03076,-96.98486,-156.31104
0.07703,-0.26147,-0.8512,53.58887,-59.14307,-169.92187
0.05615,0.22913,-1.02856,38.81836,-17.94434,-166.87012
0.01965,0.71802,-1.04224,9.09424,33.26416,-146.72852
0.03259,1.08362,-0.8064,-9.82666,86.73096,-112.54883
0.11353,1.11499,-0.59229,-4.88281,125.24414,-77.33154
0.21265,1.21692,-0.24597,-0.18311,158.20312,-57.43408
0.2644,1.49121,0.16943,14.52637,182.37305,-41.1377
0.3385,1.85291,0.61609,20.26367,198.24219,-13.18359
0.3905,2.00232,1.0918,17.02881,205.56641,30.70068
0.50879,1.90881,1.73303,1.58691,207.03125,78.61328
0.51062,1.66907,2.26404,-12.26807,190.12451,122.13135
0.46533,1.21045,2.73486,-8.17871,160.33936,160.15625
0.45898,0.45227,3.30103,-3.23486,114.86816,190.18555
0.34656,-0.02124,2.87207,-31.92139,83.55713,193.66455
0.1499,-0.91504,2.87292,-15.38086,-1.58691,187.74414
0.27319,-1.25977,2.97449,-25.6958,-36.25488,163.20801
0.3114,-1.49878,2.9115,-12.39014,-80.87158,125.73242
0.3147,-1.5376,2.64319,5.37109,-143.67676,66.46729
0.37073,-1.56067,2.22559,62.37793,-184.63135,25.57373
0.42993,-1.41125,1.39246,85.69336,-206.66504,-14.46533
0.44458,-1.37793,0.80054,100.5249,-212.58545,-50.59814
0.38879,-1.22583,0.27136,95.27588,-202.94189,-91.55273
0.28833,-0.88623,-0.17224,79.1626,-172.48535,-121.33789
0.17932,-0.66956,-0.3988,71.83838,-134.82666,-134.39941
0.11987,-0.50854,-0.57288,55.84717,-96.43555,-140.99121
0.04858,-0.26538,-0.75195,54.62646,-59.14307,-144.71436
0.02417,0.01147,-0.93591,56.09131,-17.51709,-141.60156
0.02429,0.27795,-1.07361,44.55566,27.52686,-130.92041
0.05969,0.52173,-1.00208,18.24951,74.15771,-118.65234
0.08545,0.86804,-0.87561,-0.61035,112.73193,-103.88184
0.1405,1.22424,-0.5116,0.06104,171.02051,-69.39697
0.2876,1.55225,0.2467,6.16455,201.59912,-34.79004
0.38989,1.7417,0.89294,9.58252,219.72656,-2.68555
0.47083,1.9751,1.59497,16.05225,222.10693,34.66797
0.55664,2.07544,2.28284,19.65332,209.59473,86.05957
0.54932,1.72656,2.91418,11.96289,178.89404,141.60156
0.45496,1.07532,3.09045,8.48389,126.2207,184.021
0.28503,0.17395,2.94116,14.4043,68.66455,206.29883
0.40552,-0.25635,3.1488,-7.26318,41.99219,203.36914
0.33984,-0.80066,3.00342,-7.26318,-22.88818,197.81494
0.45264,-1.43005,2.901,-8.48389,-75.01221,180.66406
0.46191,-1.86694,2.54102,9.15527,-128.90625,138.5498
0.46863,-1.94153,2.01074,32.2876,-172.36328,81.05469
0.49365,-1.88599,0.98547,71.65527,-197.69287,28.56445
0.38281,-1.90747,0.51453,108.94775,-177.30713,-23.62061
0.29199,-1.6001,0.1687,95.15381,-160.27832,-79.46777
0.14954,-1.17322,-0.23242,68.11523,-137.146,-113.58643
0.08789,-0.92834,-0.32776,53.4668,-105.65186,-128.05176
0.03064,-0.83691,-0.54102,44.55566,-81.4209,-135.0708
0.00134,-0.63904,-0.63818,44.73877,-51.63574,-147.03369
0.01147,-0.37146,-0.68079,50.59814,-18.67676,-155.45654
0.01672,-0.01038,-0.7052,43.5791,13.00049,-156.31104
0.02563,0.32568,-0.72607,26.36719,46.69189,-143.12744
0.05151,0.68237,-0.60144,-7.8125,83.55713,-120.23926
0.11182,0.9469,-0.46619,-32.89795,117.24854,-93.20068
0.25171,1.20435,-0.03564,-34.24072,152.22168,-71.41113
0.36816,1.54724,0.54907,-14.52637,173.40088,-50.354
0.47131,1.89343,1.04224,3.41797,176.08643,-23.62061
0.50403,2.21533,1.45947,12.26807,168.64014,8.97217
0.54883,2.49841,1.9104,11.96289,164.48975,57.55615
0.55872,2.45215,2.37158,14.34326,153.38135,124.14551
0.54651,1.76721,2.69556,33.02002,97.77832,223.87695
0.5022,0.52856,2.35742,-17.76123,79.65088,247.43652
0.53052,-0.8053,2.95874,-24.71924,15.56396,249.75586
0.54846,-1.49219,3.33618,-32.2876,-26.06201,225.3418
0.52429,-1.84155,3.15125,-19.47021,-96.06934,183.53271
0.5448,-2.12769,2.53845,24.53613,-159.85107,136.59668
0.55969,-2.25342,1.73792,66.95557,-194.88525,84.53369
0.49683,-2.28027,1.0166,115.66162,-205.74951,21.78955
0.3689,-1.87537,0.50281,117.12646,-202.20947,-40.16113
0.28333,-1.52576,-0.06287,88.1958,-187.74414,-83.98438
0.24109,-1.29077,-0.34583,62.31689,-153.32031,-115.66162
0.18823,-0.96887,-0.59497,41.62598,-116.88232,-139.77051
0.12952,-0.62939,-0.64209,36.49902,-75.62256,-155.76172
0.08289,-0.22778,-0.60156,34.42383,-39.85596,-161.74316
0.05823,0.08545,-0.67932,38.08594,-7.62939,-154.54102
0.03809,0.41626,-0.67773,35.15625,28.38135,-139.70947
0.073,0.68799,-0.71887,9.46045,65.979,-116.69922
0.14294,0.90295,-0.65125,-22.27783,106.32324,-94.72656
0.26855,1.07776,-0.2323,-21.60645,147.94922,-79.65088
0.30969,1.47852,0.21899,-3.84521,168.76221,-66.65039
0.3363,1.89819,0.63159,16.11328,181.45752,-39.30664
0.39978,2.22839,1.04041,20.87402,190.979,2.80762
0.46606,2.23694,1.59619,4.27246,196.47217,60.05859
0.51465,1.92542,2.18726,-23.07129,190.73486,119.99512
0.479,1.36743,2.82922,-35.27832,170.6543,168.45703
0.29395,0.60034,3.05603,-27.70996,119.75098,203.73535
0.41187,-0.14636,3.39307,-25.26855,75.31738,216.18652
0.40869,-0.90125,3.36926,-12.3291,11.04736,203.85742
0.40381,-1.45703,3.32739,-0.24414,-51.45264,171.38672
0.44019,-1.67114,3.13611,25.39063,-111.14502,126.83105
0.49231,-1.83667,2.6604,56.88477,-174.07227,79.58984
0.56921,-1.8042,1.83728,88.62305,-223.81592,26.9165
0.59351,-1.66003,0.90393,134.33838,-239.56299,-44.25049
0.50146,-1.66565,-0.01392,138.30566,-213.25684,-99.42627
0.32227,-0.98035,-0.39246,90.88135,-181.45752,-137.81738
0.25696,-0.68689,-0.63818,57.18994,-139.77051,-150.81787
0.16174,-0.46143,-0.88818,46.69189,-100.21973,-158.08105
0.10193,-0.1311,-0.88904,52.97852,-53.52783,-163.20801
0.04956,0.23596,-0.96814,50.23193,-15.07568,-154.23584
0.02087,0.36133,-1.04102,42.60254,25.45166,-132.44629
0.04248,0.54285,-1.0011,29.23584,68.29834,-114.44092
0.12268,0.79456,-0.91553,14.83154,110.35156,-97.83936
0.17517,1.12976,-0.79602,-1.77002,152.52686,-77.39258
0.28162,1.52087,-0.36902,-9.27734,199.03564,-48.15674
0.47351,1.71472,0.23132,5.06592,234.55811,-10.43701
0.68713,2.03625,1.01794,7.56836,255.98145,27.46582
0.89172,2.38,1.96643,2.13623,263.5498,80.87158
0.99963,2.24573,2.97485,-12.26807,247.98584,151.24512
0.87732,1.50574,3.65222,-29.84619,199.646,212.46338
0.71973,0.57446,3.96057,-21.3623,135.49805,246.64307
0.75366,-0.60986,3.89124,-13.06152,55.96924,249.32861
0.54504,-1.29944,3.70337,14.89258,-50.78125,218.44482
0.56799,-1.67664,3.39453,29.47998,-106.99463,170.16602
0.61877,-1.74414,2.94861,56.15234,-166.44287,117.55371
0.68713,-1.77368,1.88184,90.14893,-220.39795,73.73047
0.67554,-1.82288,1.08704,130.98145,-232.2998,24.10889
